timestamp,latitude,longitude,accuracy
167,24.4720033,39.6122564,6.3
168,24.4723338,39.6120842,6.4
169,24.4723563,39.6120811,6.4
170,24.4724889,39.6123817,6.4
171,24.4722660,39.6121607,6.5
172,24.4723494,39.6122052,6.5
173,24.4722713,39.6121002,6.6
174,24.4725440,39.6116960,6.6
175,24.4723022,39.6120985,6.6
176,24.4725322,39.6121647,6.7
177,24.4724521,39.6122026,6.7
178,24.4724635,39.6122052,6.7
179,24.4724854,39.6124299,6.8
180,24.4724340,39.6122233,6.8
181,24.4724027,39.6122015,6.8
182,24.4727151,39.6125256,6.8
183,24.4723878,39.6120666,6.9
184,24.4725676,39.6122717,6.9
185,24.4724857,39.6123711,6.9
186,24.4725452,39.6123172,6.9
187,24.4727740,39.6118454,6.9
188,24.4723975,39.6122718,7.0
189,24.4725564,39.6122549,7.0
190,24.4725281,39.6121886,7.0
191,24.4725554,39.6123824,7.0
192,24.4725977,39.6123426,7.0
193,24.4725576,39.6124359,7.0
194,24.4725514,39.6124112,7.0
195,24.4725844,39.6122968,7.0
196,24.4725360,39.6123023,7.0
197,24.4724341,39.6123123,7.0
198,24.4725060,39.6123722,7.0
199,24.4726850,39.6123676,7.0
200,24.4725656,39.6123498,7.0
201,24.4726400,39.6124908,7.0
202,24.4727859,39.6125963,7.0
203,24.4725708,39.6124722,7.0
204,24.4726570,39.6123858,6.9
205,24.4726728,39.6124027,6.9
206,24.4725247,39.6126181,6.9
207,24.4727034,39.6124162,6.9
208,24.4727087,39.6124699,6.9
209,24.4726619,39.6124232,6.8
210,24.4726550,39.6124929,6.8
211,24.4725791,39.6125349,6.8
212,24.4727466,39.6124514,6.8
213,24.4726749,39.6125526,6.7
214,24.4726973,39.6125403,6.7
215,24.4726232,39.6124765,6.7
216,24.4727005,39.6126478,6.6
217,24.4726625,39.6126278,6.6
218,24.4727255,39.6126725,6.6
219,24.4728934,39.6127562,6.5
220,24.4726141,39.6125475,6.5
221,24.4728263,39.6125402,6.5
222,24.4727176,39.6127015,6.4
223,24.4728049,39.6126102,6.4
224,24.4726777,39.6126291,6.3
225,24.4727874,39.6127271,6.3
226,24.4727519,39.6125019,6.2
227,24.4728056,39.6126735,6.2
228,24.4727521,39.6126826,6.1
229,24.4728112,39.6126762,6.1
230,24.4727816,39.6126776,6.0
231,24.4727559,39.6127788,6.0
232,24.4727049,39.6126953,5.9
233,24.4728658,39.6127561,5.9
234,24.4728770,39.6127665,5.8
235,24.4728522,39.6127714,5.7
236,24.4728239,39.6127853,5.7
237,24.4728218,39.6128374,5.6
238,24.4728799,39.6127037,5.6
239,24.4727854,39.6128965,5.5
240,24.4727972,39.6128032,5.4
241,24.4728305,39.6128009,5.4
242,24.4728134,39.6127688,5.3
243,24.4727976,39.6127706,5.2
244,24.4727752,39.6127987,5.2
245,24.4728817,39.6127853,5.1
246,24.4727379,39.6129103,5.0
247,24.4727988,39.6128678,5.0
248,24.4727678,39.6128761,4.9
249,24.4728162,39.6129583,4.8
